"name","rating","service","no_of_emp","cmp_age","location"
"Mphasis","3.6","IT Services & Consulting "," 10k-50k Employees ","25","Bangalore/Bengaluru"
"PwC","3.7","Accounting & Auditing "," 10k-50k Employees ","143","London"
"HDFC Life","4.1","Insurance "," 10k-50k Employees ","1","Mumbai"
"Yes Bank","3.9","Banking "," 10k-50k Employees ","19","Mumbai"
"Dr. Reddy's","4.2","Pharma "," 10k-50k Employees ","39","Hyderabad/Secunderabad"
"Asian Paints","4.1","Chemicals "," 10k-50k Employees ","81","Mumbai"
"Cipla Pharmaceutical","4.1","Pharma "," 10k-50k Employees ","88","Mumbai"
"NTT DATA","4","IT Services & Consulting "," 10k-50k Employees ","35","Chiyoda City"
"EXL Service","3.8","Analytics & KPO "," 10k-50k Employees ","24","New York City"
"KPMG","3.7","Management Consulting "," 10k-50k Employees ","36","Bengaluru/Bangalore"
"HCL Group","3.8","IT Services & Consulting "," 1 Lakh+ Employees ","47","Chennai"
"Udaan","4","Internet "," 1k-5k Employees ","7","Bangalore"
"Bandhan Bank","3.8","Banking "," 50k-1 Lakh Employees ","22","Kolkata"
"Paytm","3.6","FinTech "," 5k-10k Employees ","13","Noida"
"Indian Army","4.7","Defence & Aerospace "," 1 Lakh+ Employees ","128","New Delhi"
"ITC","3.9","FMCG "," 10k-50k Employees ","48","Kolkata"
"Hindustan Unilever","4.2","FMCG "," 10k-50k Employees ","90","Mumbai"
"Wells Fargo","4.2","Banking "," 10k-50k Employees ","171","San Francisco"
"Amazon Development Centre India","4.2","Hyderabad/Secunderabad +48 more",NULL,NULL,"Hyderabad/Secunderabad"
"Home Credit Finance","4.1","Financial Services "," 5k-10k Employees ","11","Gurugram"
"TATA Steel","4.1","Iron & Steel "," 1 Lakh+ Employees ","116","Mumbai"
"Hexaware Technologies","3.7","IT Services & Consulting "," 10k-50k Employees ","33","Mumbai"
"Shapoorji Pallonji Group","4.2","Engineering & Construction "," 5k-10k Employees ","158","Mumbai"
"JSW Steel","3.9","Iron & Steel "," 10k-50k Employees ","41","Mumbai"
"Ashok Leyland","4.1","Automobile "," 10k-50k Employees ","75","Chennai"
"Shriram Transport Finance","4.1","NBFC "," 10k-50k Employees ","44","Mumbai"
"Vivo","4","Consumer Electronics & Appliances "," 5k-10k Employees ","14","Gurgaon/Gurugram"
"Muthoot Finance","3.6","NBFC "," 10k-50k Employees ","84","Kochi/Cochin"
"Zydus Cadila","4.2","Pharma "," 10k-50k Employees ","71","Ahmedabad"
"Siemens","4.2","Power "," 5k-10k Employees ","176","Munich"
"Hewlett-Packard Enterprise","4.3","Emerging Technologies "," 10k-50k Employees ","8","Houston"
"L&T Construction","4","Engineering & Construction "," 10k-50k Employees ","79","Chennai"
"D Mart","3.9","Retail "," 10k-50k Employees ","4","Mumbai"
"Bosch","4.3","Auto Components "," 10k-50k Employees ","137","Gerlingen"
"Oyo Rooms","3.4","Hospitality "," 1k-5k Employees ","10","Gurgaon"
"Manappuram Finance","3.9","NBFC "," 10k-50k Employees ","74","Thrissur/Trichur"
"Atos Syntel","3.6","IT Services & Consulting "," 5k-10k Employees ","43","Troy"
"Cummins","4.4","Auto Components "," 10k-50k Employees ","61","Columbus"
"CBRE","4.2","Real Estate "," 10k-50k Employees ","117","Los Angeles"
"State Bank of India","3.8","Banking "," 1 Lakh+ Employees ","217","Mumbai"
"Viatris","4.2","Pharma "," 10k-50k Employees ","62","Canonsburg"
"Swiggy","4","Internet "," 5k-10k Employees ","9","Bangalore"
"Muthoot Fincorp","4","NBFC "," 10k-50k Employees ","136","Trivandrum/Thiruvananthapuram"
"Godrej & Boyce Manufacturing","3.9","FMCG "," 10k-50k Employees ","126","Mumbai"
"Royal Enfield","4.2","Automobile "," 1k-5k Employees ","122","Gurgaon/Gurugram"
"LG Electronics","4","Consumer Electronics & Appliances "," 10k-50k Employees ","65","Seoul"
"Piramal Capital Housing Finance","4.3","NBFC "," 5k-10k Employees ","3","Mumbai"
"Ford Motor","4.5","Automobile "," 5k-10k Employees ","120","Dearborn"
"Sodexo","4.1","Facility Management Services "," 10k-50k Employees ","15","Issy les Moulineaux"
"Deutsche Bank","4.1","Banking "," 10k-50k Employees ","153","Frankfurt"
"Subros","4","Auto Components "," 1k-5k Employees ","38","Noida"
"Randstad","3.9","1k-5k Employees "," Conglomerate ","31","Chennai"
"American Express","4.3","Financial Services "," 10k-50k Employees ","173","New York City"
"Pidilite Industries","4.3","Chemicals "," 5k-10k Employees ","64","Mumbai"
"Alkem Laboratories","4","Pharma "," 10k-50k Employees ","50","Mumbai"
"Bharat Electronics","4.1","Consumer Electronics & Appliances "," 5k-10k Employees ","69","Bangalore/Bengaluru"
"Indian Air Force","4.6","Defence & Aerospace "," 1 Lakh+ Employees ","91","New Delhi"
"DCB Bank","3.9","Banking "," 5k-10k Employees ","93","Mumbai"
"NatWest Group","4.1","Banking "," 10k-50k Employees ","2000","Gurgaon/Gurugram"
"Standard Chartered Bank","4","Banking "," 10k-50k Employees ","54","London"
"MRF Tyres","3.7","Auto Components "," 10k-50k Employees ","77","Chennai"
"Maersk","4.3","Logistics "," 10k-50k Employees ","119","Copenhagen"
"Berger Paints","3.7","Chemicals "," 1k-5k Employees ","100","Kolkata"
"Dabur","3.9","FMCG "," 5k-10k Employees ","139","Ghaziabad"
"RBL Bank","3.7","Banking "," 1k-5k Employees ","80","Mumbai"
"Escorts Kubota Limited","4.1","Automobile "," 10k-50k Employees ","63","Faridabad"
"GeBBS Healthcare Solutions","3.8","BPO "," 5k-10k Employees ","18","Culver City"
"ACC","4","Building Material "," 5k-10k Employees ","87","Mumbai"
"JK Cement","4.1","Building Material "," 1k-5k Employees ","49","Gurgaon/Gurugram"
"Simplex Infrastructures","3.3","Engineering & Construction "," 1k-5k Employees ","99","Kolkata"
"Torrent Pharmaceuticals","3.9","Pharma "," 10k-50k Employees ","52","Ahmedabad"
"ArcelorMittal Nippon Steel","4","Iron & Steel "," 5k-10k Employees ","  ","Surat"
"Arvind Group","4.1","Fashion & Textile "," 10k-50k Employees ","92","Ahmedabad"
"Apollo Tyres","4.1","Auto Components "," 5k-10k Employees ","51","Gurgaon/Gurugram"
"McDonald's","4.3","Hospitality "," 5k-10k Employees ","68","Chicago"
"S&P Global","4.2","IT Services & Consulting "," 5k-10k Employees ","106","New York City"
"Capgemini Engineering","3.6","10k-50k Employees "," Gurgaon/Gurugram +16 more",NULL,"Gurgaon/Gurugram"
"Bajaj Allianz General Insurance","4.1","Financial Services "," 5k-10k Employees ",NULL,"Pune"
"State Street Corporation","3.8","Financial Services "," 10k-50k Employees ","231","Boston"
"Radisson Hotels","4","Hospitality "," 10k-50k Employees ","114","Minnetonka"
"Aditya Birla Group","4.2","Retail "," 10k-50k Employees ","166","Mumbai"
"TVS Supply Chain Solutions","3.9","Logistics "," 1k-5k Employees ","127","Chennai"
"Exide Industries","3.6","Auto Components "," 1k-5k Employees ","76","Kolkata"
"Britannia","4.1","Food Processing "," 5k-10k Employees ","131","Reading"
"R.R. Donnelley","4.1","BPO "," 5k-10k Employees ","159","Chicago"
"Life Insurance Corporation of India","4.3","Insurance "," 1 Lakh+ Employees ","67","Mumbai"
"CG Power and Industrial Solutions","3.8","Electrical Equipment "," 1k-5k Employees ","86","Mumbai"
"Yazaki","3.8","Auto Components "," 10k-50k Employees ","82","Tokyo"
"BHEL","4.2","Electrical Equipment "," 10k-50k Employees ","59","Bangalore/Bengaluru"
"Raymond","4.1","Fashion & Textile "," 5k-10k Employees ","98","New York"
"DS Group","4","FMCG "," 1k-5k Employees ","94","Noida"
"Barclays","4.1","Banking "," 10k-50k Employees ","333","London"
"Indian Railways","4.1","Railways "," 1 Lakh+ Employees ","170","Delhi/NCR"
"SRF","4.3","Chemicals "," 5k-10k Employees ","53","Gurgaon/Gurugram"
"Kansai Nerolac Paints","3.9","Chemicals "," 1k-5k Employees ","103","Mumbai"
"Cadila Pharmaceuticals","3.3","Pharma "," 5k-10k Employees ","72","Ahmedabad"
"Sterling & Wilson","4.1","Real Estate "," 5k-10k Employees ","96","Mumbai"
"BT Group","4.2","Telecom "," 10k-50k Employees ","177","London"
"Tata Motors Finance","4.2","NBFC "," 1k-5k Employees ","66","Mumbai"
"Indian Navy","4.6","Defence & Aerospace "," 50k-1 Lakh Employees ","73","Delhi/NCR"
"Kyndryl","4","IT Services & Consulting "," 10k-50k Employees ","2","New York"
"Bureau Veritas","3.9","Accounting & Auditing "," 1k-5k Employees ","195","Paris La Défense"
"suzuki motor gujarat","4.2","Fortune India 500 "," Becharaji +61 more","500","Becharaji"
"Hindustan Aeronautics","4.3","Defence & Aerospace "," 10k-50k Employees ","83","Bangalore/Bengaluru"
"Citibank","4","Banking "," 1-10 Employees ","211","New York"
"Bank of Baroda","3.6","Banking "," 50k-1 Lakh Employees ","115","Vadodara/Baroda"
"Vardhman Fabrics","4.1","Fashion & Textile "," 10k-50k Employees ","500","Baddi"
"SGS","4","1k-5k Employees "," Forbes Global 2000 ","145","Geneva"
"Biological E","4.2","Pharma "," 1k-5k Employees ","70","Hyderabad/Secunderabad"
"Oberoi Group of Hotels","4.2","Hospitality "," 1k-5k Employees ","89","Delhi/NCR"
"KONE","4.2","Engineering & Construction "," 5k-10k Employees ","113","Chennai"
"Procter & Gamble","4.3","FMCG "," 10k-50k Employees ","186","Cincinnati"
"Angel One","3.9","Financial Services "," 1k-5k Employees ",NULL,"Mumbai"
"Alstom Transportation","3.9","Engineering & Construction "," 5k-10k Employees ","95","Saint-Ouen"
"Samsung India Electronics","4.1","Consumer Electronics & Appliances "," Noida +149 more"," ","Noida"
"First American Corporation","3.9","IT Services & Consulting "," 1k-5k Employees ","134","Santa Ana"
"Credit Suisse","4.1","5k-10k Employees "," 167 years old ","167","Zurich"
"Hindustan Construction Company","4.1","Engineering & Construction "," 1k-5k Employees ","97","Mumbai"
"Tesco","4","IT Services & Consulting "," 1k-5k Employees ","104","Hertfordshire"
"Saint-Gobain","4","Building Material "," 10k-50k Employees ","358","Paris"
"Panasonic","4","Consumer Electronics & Appliances "," 10k-50k Employees ","105","Kadoma"
"Tata Group","4.4","IT Services & Consulting "," 1 Lakh+ Employees ","155","Mumbai"
"BNP Paribas","3.9","Financial Services "," 10k-50k Employees ","175","Paris"
"Bayer","4.2","Pharma "," 1k-5k Employees ","160","Monheim Am Rhein"
"Karma Ayurveda","4.5","Healthcare "," 201-500 Employees ","500","New Delhi"
"Bharat FIH","4","5k-10k Employees "," Chennai +22 more",NULL,"Chennai"
"Bisleri","4.2","FMCG "," 1k-5k Employees ","58","Mumbai"
"Fresenius Kabi","4.2","Healthcare "," 1k-5k Employees ","111","Pune"
"Shriram Pistons & Rings","4.1","Auto Components "," 1k-5k Employees ","60","Delhi/NCR"
"NEC","4.5","IT Services & Consulting "," 1k-5k Employees ","124","Noida"
"Zf Rane Automotive","4","Auto Components "," 51-200 Employees ","51","Chennai"
"TUV SUD","3.9","Other "," 1k-5k Employees ","157","Munich"
"United Alliance Technology","4.9","IT Services & Consulting "," Pune +9 more",NULL,"Pune"
"Continental Automotive Components","4.3","Auto Components "," 5k-10k Employees ","152","Lower Saxony"
"JioMart","3.9","51-200 Employees "," Kolkata +207 more","51","Kolkata"
"Schindler","3.9","1k-5k Employees "," Pune +47 more",NULL,"Pune"
"Xyz Company","3.8","Financial Services "," 51-200 Employees (Global) ","200","Mumbai"
"Kirloskar Brothers","4","Industrial Machinery "," 1k-5k Employees ","135","Pune"
"Hindustan Zinc","3.9","Metals & Mining "," 1k-5k Employees ","57","Udaipur"
"FLSmidth","3.7","Industrial Machinery "," 1k-5k Employees ","141","Copenhagen"
"Punjab National Bank","4","Banking "," 1 Lakh+ Employees ","129","Delhi/NCR"
"Thomas Cook","3.7","Travel & Tourism "," 1k-5k Employees ","142","Mumbai"
"Karur Vysya Bank","3.7","Banking "," 5k-10k Employees ","107","Karur"
"ZF Steering Gear","3.7","Auto Components "," 501-1k Employees ","108","Pune"
"Greaves Cotton","4.1","Industrial Machinery "," 1k-5k Employees ","164","Mumbai"
"GAMMON INDIA","3.9","Engineering & Construction "," 11-50 Employees ","101","Mumbai"
"Aviva Life Insurance India","4","Insurance "," 1k-5k Employees ","327","London"
"Sandvik Asia","4.4","Industrial Machinery "," 10k-50k Employees (Global) ","161","Stockholm"
"Allianz Technology","4.5","IT Services & Consulting "," 1k-5k Employees ","133","Munich"
"Bechtel","4.2","Engineering & Construction "," 1k-5k Employees ","125","Reston"
"Atlas Copco","4.3","Industrial Machinery "," 1k-5k Employees ","150","Nacka Municipality"
"DuPont","4.2","Chemicals "," 1k-5k Employees ","221","Wilmington"
"GSK Pharmaceuticals","4.2","Pharma "," 1k-5k Employees ","193","Middlesex"
"TDK India","4","Semiconductors "," 1k-5k Employees ",NULL,"Nashik"
"Guardian India","4.1","IT Services & Consulting "," 1k-5k Employees ","163","Gurgaon/Gurugram"
"Target","4.4","Retail "," 1k-5k Employees ","121","Minneapolis"
"Linde India","4.1","Oil & Gas "," 201-500 Employees ","144","Pullach"
"ICICI Bank","4","Banking "," 1 Lakh+ Employees ","29","Mumbai"
"HDFC Bank","3.9","Banking "," 1 Lakh+ Employees ","29","Mumbai"
"Amazon","4.2","Internet "," 1 Lakh+ Employees ","29","Seattle"
"HDB Financial Services","4","NBFC "," 10k-50k Employees ","16","Ahmedabad"
"Tata Motors","4.2","Automobile "," 10k-50k Employees ","78","Pune"
"Flipkart","4.1","Internet "," 10k-50k Employees ","16","Bangalore"
"IndusInd Bank","3.7","Banking "," 10k-50k Employees ","29","Gurgaon/Gurugram"
"Mahindra & Mahindra","4.2","Automobile "," 1 Lakh+ Employees ","78","Mumbai"
"Infosys BPM","3.9","BPO "," 10k-50k Employees ","21","Bangalore/Bengaluru"
"IDFC FIRST Bank","4","Banking "," 10k-50k Employees ","5","Mumbai"
"Maruti Suzuki","4.2","Automobile "," 10k-50k Employees ","40","New Delhi"
"Bajaj Finserv","4","Insurance "," 10k-50k Employees ","16","Pune"
"Conneqt Business Solutions","3.7","Analytics & KPO "," 10k-50k Employees ","21","Mumbai"
"HSBC Group","4.1","Banking "," 10k-50k Employees ","21","Pune"
"iEnergizer","4.3","BPO "," 10k-50k Employees ","23","Noida"
"Startek","3.3","BPO "," 10k-50k Employees ","6","Mumbai"
"Sutherland Global Services","3.8","IT Services & Consulting "," 10k-50k Employees ","37","Pittsford"
"ICICI Prudential Life Insurance","4.1","Insurance "," 10k-50k Employees ","23","Mumbai"
"Jana Small Finance Bank","3.8","Banking "," 10k-50k Employees ","17","Bangalore/Bengaluru"
"UltraTech Cement","4.2","Building Material "," 10k-50k Employees ","40","Mumbai"
"Lupin","4.1","Pharma "," 10k-50k Employees ","55","Mumbai"
"Bajaj Finance","4.1","NBFC "," 10k-50k Employees ","36","Pune"
"L&T Infotech","3.8","IT Services & Consulting "," 10k-50k Employees ","27","Mumbai"
"AU Small Finance Bank","4.2","Financial Services "," 10k-50k Employees ","27","Jaipur"
"Mindtree","4","IT Services & Consulting "," 10k-50k Employees ","24","Bangalore/Bengaluru"
"JP Morgan Chase","4.2","10k-50k Employees "," Forbes Global 2000 ","23","New York"
"FIS","3.9","IT Services & Consulting "," 5k-10k Employees ","55","Jacksonville"
"Ujjivan Small Finance Bank","4.1","Banking "," 10k-50k Employees ","6","Bangalore/Bengaluru"
"Delhivery","4","Logistics "," 10k-50k Employees ","12","Delhi"
"IIFL Finance","3.8","Financial Services "," 10k-50k Employees ","28","Mumbai"
"Quess","4","Recruitment "," 1 Lakh+ Employees ","16","Bangalore"
"Sun Pharmaceutical Industries","4.1","Pharma "," 10k-50k Employees ","40","Mumbai"
"OPPO","3.9","Consumer Electronics & Appliances "," 10k-50k Employees ","19","Dongguan"
"Aurobindo Pharma","4","Pharma "," 10k-50k Employees ","37","Hyderabad/Secunderabad"
"Max Life Insurance","4.1","Insurance "," 10k-50k Employees ","23","Gurgaon/Gurugram"
"eClerx","3.5","IT Services & Consulting "," 10k-50k Employees ","23","Mumbai"
"Oracle","3.9","Software Product "," 50k-1 Lakh Employees ","46","Austin"
"Apollo Hospitals","4.1","Healthcare "," 50k-1 Lakh Employees ","40","Chennai"
"Mahindra & Mahindra Financial Services","4.3","NBFC "," 10k-50k Employees ","32","Mumbai"
"Tata Projects","4.2","Engineering & Construction "," 10k-50k Employees ","44","Mumbai"
"JLL","4.2","Real Estate "," 5k-10k Employees ","26","Mumbai"
"Capgemini Technology Services India Limited","4","Bengaluru/Bangalore +31 more",NULL,NULL,"Bengaluru/Bangalore"
"First Source","3.9","BPO "," 10k-50k Employees ","22","Mumbai"
"Hero MotoCorp","4.1","Automobile "," 5k-10k Employees ","39","Gurgaon/Gurugram"
"JustDial","3.6","Internet "," 10k-50k Employees ","27","Mumbai"
"Bajaj Allianz Life Insurance","4.1","Insurance "," 10k-50k Employees ","22","Pune"
"Omega Healthcare","3.7","IT Services & Consulting "," 5k-10k Employees ","19","Florida"
"Cyient","3.7","IT Services & Consulting "," 10k-50k Employees ","32","Hyderabad/Secunderabad"
"Megha Engineering & Infrastructures","4.1","Engineering & Construction "," 1k-5k Employees ","34","Hyderabad/Secunderabad"
"Hyundai Motor","4.3","Automobile "," 10k-50k Employees ","56","Seoul"
"Reliance Communications","3.9","Telecom "," 10k-50k Employees ","21","Navi Mumbai"
"TVS Motor","4","Automobile "," 10k-50k Employees ","44","Chennai"
"BigBasket","4","Internet "," 10k-50k Employees ","12","Bangalore"
"Indiamart Intermesh","3.7","Internet "," 10k-50k Employees ","27","Noida"
"Intelenet Global Services","3.7","BPO "," 10k-50k Employees ","23","Mumbai"
"Future Group","4.2","Retail "," 10k-50k Employees ","10","Mumbai"
"SBI Cards & Payment Services","3.7","Financial Services "," 1k-5k Employees ","25","Gurgaon/Gurugram"
"BNY Mellon","4.1","IT Services & Consulting "," 5k-10k Employees ","19","New York City"
"Bosch Global Software Technologies","4.2","Software Product "," 10k-50k Employees ","33","Gerlingen"
"Wipro BPS","3.8","IT Services & Consulting "," 1 Lakh+ Employees ","23","Bengaluru"
"UST","3.8","IT Services & Consulting "," 10k-50k Employees ","22","Aliso Viejo"
"IQVIA","4.1","Clinical Research "," 10k-50k Employees ","41","Durham"
"Coforge","3.6","IT Services & Consulting "," 10k-50k Employees ","19","Noida"
"Amdocs","4","Software Product "," 10k-50k Employees ","41","Chesterfield"
"Fullerton India","4.1","Financial Services "," 10k-50k Employees ","16","Mumbai"
"Schneider Electric","4.1","Industrial Automation "," 10k-50k Employees ","24","Paris"
"Samsung","4.1","5k-10k Employees "," Public ","85","Seoul"
"Nagarro","4.4","IT Services & Consulting "," 10k-50k Employees ","27","Munich"
"ICICI Lombard General Insurance Company","3.8","Insurance "," 10k-50k Employees ","22","Mumbai"
"GlobalLogic","3.8","IT Services & Consulting "," 10k-50k Employees ","23","San Jose"
"Virtusa Consulting Services","3.8","IT Services & Consulting "," 10k-50k Employees ","27","Southborough"
"JBM Group","4","Auto Components "," 10k-50k Employees ","40","Gurgaon/Gurugram"
"Dell","4.1","Consumer Electronics & Appliances "," 10k-50k Employees ","39","Round Rock"
"Ecom Express","4.1","Logistics "," 10k-50k Employees ","11","Gurgaon"
"Bajaj Auto","3.9","Automobile "," 5k-10k Employees ","78","Pune"
"Cholamandalam Investment & Finance","4.1","NBFC "," 5k-10k Employees ","45","Chennai"
"Equitas Small Finance Bank","4.1","Banking "," 10k-50k Employees ","16","Chennai"
"Samvardhana Motherson Group","3.8","Auto Components "," 5k-10k Employees ","37","Noida"
"KEC International","4.1","Real Estate "," 5k-10k Employees ","78","Mumbai"
"Nagarjuna Construction Company","4.1","Engineering & Construction "," 1k-5k Employees ","25","Hyderabad/Secunderabad"
"Aditya Birla Fashion and Retail","4.2","Retail "," 10k-50k Employees ","8","Mumbai"
"SBI Life Insurance Company","3.8","Insurance "," 10k-50k Employees ","22","Mumbai"
"Ekart Logistics","4.1","Logistics "," 5k-10k Employees ","14","San Francisco"
"L&T Technology Services","3.4","IT Services & Consulting "," 10k-50k Employees ","11","Vadodara/Baroda"
"Optum","4.1","Healthcare "," 10k-50k Employees ","46","Prairie"
"Tata Communications","4.2","Telecom "," 5k-10k Employees ","37","Mumbai"
"John Deere","4.3","IT Services & Consulting "," 5k-10k Employees ","22","Moline"
"Whitehat jr","3.6","EdTech "," 5k-10k Employees ","5","Mumbai"
"L&T Finance","4","NBFC "," 10k-50k Employees ","29","Mumbai"
"Intas Pharmaceuticals","4.2","Pharma "," 10k-50k Employees ","23","Ahmedabad"
"Thermax Limited","4.2","Industrial Machinery "," 5k-10k Employees ","43","Pune"
"Varun Beverages","4","Beverage "," 10k-50k Employees ","28","Gurgaon/Gurugram"
"Hetero Drugs","3.8","Pharma "," 1k-5k Employees ","30","Hyderabad/Secunderabad"
"UnitedHealth","4.2","Healthcare "," 10k-50k Employees ","46","Minnetonka"
"Abbott Healthcare","4.2","Pharma "," 1k-5k Employees ","32","Illinois City"
"Macleods Pharmaceuticals","3.8","Pharma "," 5k-10k Employees ","37","Mumbai"
"VE Commercial Vehicles","4","Automobile "," 1k-5k Employees ","15","Gurgaon/Gurugram"
"Automatic Data Processing (ADP)","4.2","IT Services & Consulting "," 5k-10k Employees ","74","New Jersey"
"CARS24","3.6","Internet "," 5k-10k Employees ","8","Gurgaon"
"Havells","4.1","Electrical Equipment "," 5k-10k Employees ","40","Noida"
"Wipro Consumer Care & Lighting","3.7","FMCG "," 1k-5k Employees ","78","Bangalore/Bengaluru"
"Hindustan Coca Cola Beverages","4.4","Beverage "," 5k-10k Employees ","26","Bangalore"
"Alembic Pharmaceuticals","4","Pharma "," 10k-50k Employees ","116","Vadodara/Baroda"
"Axis Direct","4","Financial Services "," 1k-5k Employees ","12","San Mateo"
"Wipro Infotech","4","IT Services & Consulting "," 1 Lakh+ Employees (Global) ","78","Bangalore"
"Atos","3.9","IT Services & Consulting "," 201-500 Employees ","26","Vilnius"
"Team Lease","3.9","Recruitment "," 1k-5k Employees ","7","Bangalore/Bengaluru"
"Cgi Group","4.2","IT Services & Consulting "," 10k-50k Employees ","47","Montreal"
"Hindalco Industries","4.3","Metals & Mining "," 10k-50k Employees ","65","Mumbai"
"Vishal Mega Mart","3.8","Retail "," 10k-50k Employees ","15","Gurgaon/Gurugram"
"Persistent Systems","3.9","IT Services & Consulting "," 10k-50k Employees ","33","Pune"
"Publicis Sapient","3.6","IT Services & Consulting "," 10k-50k Employees ","33","New York"
"CMS IT Services","3.2","IT Services & Consulting "," 5k-10k Employees ","9","Bangalore"
"ABB Group","4.1","Electrical Equipment "," 10k-50k Employees ","35","Zurich"
"Glenmark Pharmaceuticals","4","Pharma "," 501-1k Employees ","46","Mumbai"
"Ipca Laboratories","4","Pharma "," 10k-50k Employees ","74","Mumbai"
"Honda Motorcycle & Scooter","4.2","Automobile "," 1k-5k Employees ","24","Gurgaon/Gurugram"
"DTDC Express","3.8","Logistics "," 1k-5k Employees ","33","Bangalore/Bengaluru"
"Bank of America","4.4","Banking "," 10k-50k Employees ","25","Charlotte"
"Aarti Industries","4.1","Chemicals "," 5k-10k Employees ","48","Mumbai"
"R1 RCM","3.9","Accounting & Auditing "," 5k-10k Employees ","20","Murray"
"GATI-KWE","4.1","Logistics "," 1k-5k Employees ","11","Hyderabad/Secunderabad"
"Reliance Nippon Life Insurance","3.9","Insurance "," 10k-50k Employees ","23","Mumbai"
"Access Healthcare","3.9","IT Services & Consulting "," 1k-5k Employees ","12","Dallas"
"24/7 Customer","3.6","Software Product "," 5k-10k Employees ","23","San Jose"
"Biocon","3.9","Biotechnology "," 10k-50k Employees ","45","Bangalore/Bengaluru"
"Tata AIA Life Insurance","4.1","Insurance "," 10k-50k Employees ","22","Mumbai"
"Shoppers Stop","4.2","Retail "," 5k-10k Employees ","32","Mumbai"
"ITC Infotech India","3.6","IT Services & Consulting "," 5k-10k Employees ","23","Bangalore/Bengaluru"
"Utkarsh Small Finance Bank","3.9","Banking "," 10k-50k Employees ","14","Varanasi"
"Paras Hospital","4.7","Healthcare "," 5k-10k Employees ","17","Gurgaon/Gurugram"
"Conduent","3.6","IT Services & Consulting "," 5k-10k Employees ","6","Florham Park"
"Jindal Steel and Power","3.9","Iron & Steel "," 5k-10k Employees ","71","Delhi/NCR"
"Ceat Tyres","4","Auto Components "," 5k-10k Employees ","65","Mumbai"
"Suzlon Group","4","Power "," 5k-10k Employees ","28","Pune"
"HDFC Ergo General Insurance","4","Insurance "," 5k-10k Employees ","21","Mumbai"
"Indian Oil Corporation","4.4","Oil & Gas "," 10k-50k Employees ","64","Delhi/NCR"
"RSPL Group","4.1","FMCG "," 1k-5k Employees ","36","Mumbai"
"PolicyBazaar","3.5","FinTech "," 5k-10k Employees ","15","Gurgaon"
"PNB MetLife","3.5","Insurance "," 5k-10k Employees ","22","Mumbai"
"Kotak Mahindara Life Insurance","3.8","Insurance "," 10k-50k Employees ","22","Mumbai"
"Cogent E Services","3.4","BPO "," 10k-50k Employees ","19","Noida"
"Carelon Global Solutions","4.1","Hyderabad/Secunderabad +9 more",NULL,NULL,"Hyderabad/Secunderabad"
"Bajaj Electricals","4.1","Consumer Electronics & Appliances "," 1k-5k Employees ","85","Mumbai"
"Titan Company","4.4","Other "," 5k-10k Employees ","5","Mumbai"
"IndiGo","3.6","Aviation "," 10k-50k Employees ","17","Gurgaon/Gurugram"
"Reliance Digital","4.2","Retail "," 5k-10k Employees ","16","Mumbai"
